Brand,Model,RAM,Memory,Battery Capacity,Item Weight,Price,Screen Size,Sales based on Ratings
Samsung,A54,8 GB,256 GB,5000 Milliamp Hours,0.106 ounces,$367.45,6.4 Inches,22
Google,GA03900-US,8 GB,256 GB,4614 Milliamp Hours,207 Grams,$419.99,6.4 Inches,717
Motorola,PASU0002SE,,,,6.4 ounces,$141.48,,1253
Luqeeg,,,32 GB,2200 Milliamp Hours,10.6 ounces,$51.18,,
Google,Pixel 7 Pro,12 GB,128 GB,4926 Milliamp Hours,7.4 ounces,,6.7 Inches,182
DOOGEE,,,,4000 Milliamp Hours,10.5 ounces,$579.99,,6
Lively,5007SJBS3,3 GB,32 GB,3500 Milliamp Hours,1.75 ounces,$74.99,6.22 Inches,1330
"Shen Zhen Yixun Electronic Technology Co., Ltd",T300,64 MB,16 GB,1500 Milliamp Hours,4 ounces,$89.99,2.4 Inches,122
Samsung,SM-G998UZKEXAA,12 GB,256 GB,5000 Milliamp Hours,7.1 ounces,$620.97,6.8 Inches,5575
Samsung Electronics,,4 GB,128 GB,5000 Milliamp Hours,6.8 ounces,$127.50,6.5 Inches,4
Apple Computer,A2275,3 GB,64 GB,,10.9 ounces,,4.7 Inches,13861
Samsung,Samsung Galaxy A42 5G,,128 GB,5000 Milliamp Hours,11.7 ounces,,6.6 Inches,4
HMD Global Oy,TA-1323,2 GB,32 GB,4000 Milliamp Hours,6.3 Ounces,$99.99,6.52 Inches,265
Samsung,F-AA546BZKDEUE,8 GB,256 GB,5000 Milliamp Hours,7.1 ounces,$377.00,6.4 Inches,161
SAMSUNG,Galaxy S10+,8 GB,128 GB,4100 Milliamp Hours,0.023 ounces,,6.4 Inches,17278
Xiaomi,Note 11,4 GB,4 GB,5000 Milliamp Hours,5.6 ounces,$174.00,6.43 Inches,18482
TCL,,4 GB,128 GB,5000 Milliamp Hours,6.88 Ounces,$139.99,6.75 Inches,313
HOTWAV,NOTE 12,8 GB,128 GB,6180 Milliamp Hours,1.1 pounds,$139.99,6.78 Inches,118
"Shenzhen Juzhengxin Technology Co.,Ltd.",SD28-pink,,,,1.28 pounds,$49.99,,119
Assistive Technology Services,sa911fd,,,,8.4 ounces,$179.77,,72
HMD Global Oy,TA-1430,4 GB,128 GB,5000,6.8 ounces,$129.99,6.52 Inches,44
,,,,,,,,
Motorola,PAWJ0004US,8 GB,512 GB,5100,7.2 ounces,$799.99,6.7 Inches,103
DOOGEE,N50,15 GB,15 GB,4200 Amp Hours,7 ounces,$129.99,6.52 Inches,802
UMIDIGI,A15C,8 GB,128 GB,5000 Milliamp Hours,6.9 ounces,$149.99,6.7 Inches,48
TCL,,4 GB,128 GB,5000 Milliamp Hours,6.88 Ounces,$139.99,6.75 Inches,313
Samsung,A54,8 GB,256 GB,5000 Milliamp Hours,0.106 ounces,$367.45,6.4 Inches,22
TCL,,3 GB,32 GB,3000 Milliamp Hours,6.1 ounces,$99.99,6 Inches,2611
Samsung,Samsung Galaxy A42 5G,,128 GB,5000 Milliamp Hours,11.7 ounces,,6.6 Inches,4
UMIDIGI,G1 MAX,6 GB,128 GB,5150 Milliamp Hours,6.8 ounces,$93.49,6.52 Inches,380
Google,,,,,,,,14
Samsung Electronics,,4 GB,128 GB,5000 Milliamp Hours,6.8 ounces,$127.50,6.5 Inches,4
HMD Global Oy,TA-1323,2 GB,32 GB,4000 Milliamp Hours,6.3 Ounces,$99.99,6.52 Inches,265
"Shen Zhen Yixun Electronic Technology Co., Ltd",T300,64 MB,16 GB,1500 Milliamp Hours,4 ounces,$89.99,2.4 Inches,122
TCL,,4 GB,128 GB,5000 Milliamp Hours,6.88 Ounces,$139.99,6.75 Inches,313
Samsung,SM-N981WZNAXAC,8 GB,128 GB,4500 Milliamp Hours,0.176 ounces,$314.29,6.7 Inches,79
HTTWCOD,,,256 GB,6800 Milliamp Hours,0.32 ounces,$15.99,6.8 Inches,7
Dpofirs,Dpofirs6xgdg4q3y2,,64 GB,4000 Milliamp Hours,14.4 ounces,$106.99,6.1 Inches,
Motorola,PAT60001US,6 GB,512 GB,4800 Milliamp Hours,6.9 ounces,$647.00,6.7 Inches,366
Motorola,,,,,6.7 ounces,$99.99,,185
BLU,,8 GB,8 GB,4.2 Milliamp Hours,0.176 ounces,$159.99,6.6 Inches,251
Motorola,PAX60004US,8 GB,256 GB,3800,6.7 ounces,$999.99,6.9 Inches,36
Samsung,SM-A145PLGDMEA,,,,7.1 ounces,$128.98,,87
HOTWAV,NOTE 12,8 GB,128 GB,6180 Milliamp Hours,1.1 pounds,$139.99,6.78 Inches,118
UMIDIGI,A15C,8 GB,128 GB,5000 Milliamp Hours,6.9 ounces,$149.99,6.7 Inches,48
Lintratek,,,,,6.74 pounds,$229.99,,
Yealink,BH71 OB,,,,4.9 ounces,$79.90,,59
Google,GA01316-US,8 GB,128 GB,,5 ounces,$299.99,6 Inches,3362
Samsung,A102U,2 GB,32 GB,3 Milliamp Hours,6 ounces,,5.83 Inches,659
SAMSUNG,SM-M127FZKV,4 GB,4 GB,6000 Milliamp Hours,2.08 ounces,$199.99,6.5 Inches,1
UMIDIGI,A15C,8 GB,128 GB,5000 Milliamp Hours,6.9 ounces,$149.99,6.7 Inches,48
DOOGEE,N50,15 GB,15 GB,4200 Amp Hours,7 ounces,$129.99,6.52 Inches,802
TCL,,4 GB,128 GB,5000 Milliamp Hours,6.88 Ounces,$139.99,6.75 Inches,313
Samsung,A54,8 GB,256 GB,5000 Milliamp Hours,0.106 ounces,$367.45,6.4 Inches,22
Google,Pixel 7,128 GB,128 GB,4355 Milliamp Hours,6.9 ounces,,6.3 Inches,11
Xiaomi,12C,4 GB,128 GB,5000 Milliamp Hours,6 ounces,$109.49,6.71 Inches,4101
Xiaomi,Redmi 12 4G LTE,8 GB,256 GB,5000 Milliamp Hours,7 ounces,$185.00,6.79 Inches,165
Samsung Electronincs,SM-G990UZADXAA,8 GB,128 GB,4500 Milliamp Hours,6.7 ounces,$339.07,6.4 Inches,14525
Luqeeg,,,32 GB,2200 Milliamp Hours,10.6 ounces,$51.18,,
SEAZOU,LTE-A,,,,2.88 pounds,$85.00,,
MAXTOP,,,,,7.4 ounces,$28.99,,1
Xiaomi,,,128 GB,4000 Milliamp Hours,15.4 ounces,$199.99,,
Samsung,Galaxy Z Flip3,8 GB,128 GB,,6.5 ounces,,6.7 Inches,218
Motorola,PALF0022US,4 GB,64 GB,5000 Milliamp Hours,206.5 Grams,,6.6 Inches,750
OnePlus,OnePlus Ace Pro 10T,16 GB,512 GB,4800 Milliamp Hours,7.2 ounces,$528.00,6.7 Inches,16
black friday cyber monday deals,lightning deals of today,,2 GB,,14.1 ounces,$36.69,,
Kyocera,E7200,,128 GB,,,$899.99,5.38 Inches,
,,,,,,,,1232
Google,G025J,6 GB,128 GB,3140 Milliamp Hours,5 ounces,$249.99,5.8 Inches,10350
VICSEED,,,,,10.5 ounces,$32.99,,73
UMIDIGI,A15C,8 GB,128 GB,5000 Milliamp Hours,6.9 ounces,$149.99,6.7 Inches,48
"Shenzhen Juzhengxin Technology Co.,Ltd.",SD28-pink,,,,1.28 pounds,$49.99,,119
SEAZOU,LTE-A,,,,2.88 pounds,$85.00,,
HTC,U23 Pro,12 GB,256 GB,4600 Milliamp Hours,0.176 ounces,$468.00,6.7 Inches,1
PUSOKEI,PUSOKEI1e6hz4ou90-12,,,,,$102.29,,
Luqeeg,,,32 GB,2200 Milliamp Hours,10.6 ounces,$51.18,,
DOOGEE,N50,15 GB,15 GB,4200 Amp Hours,7 ounces,$129.99,6.52 Inches,802
UMIDIGI,A15C,8 GB,128 GB,5000 Milliamp Hours,6.9 ounces,$149.99,6.7 Inches,48
Samsung,A54,8 GB,256 GB,5000 Milliamp Hours,0.106 ounces,$367.45,6.4 Inches,22
TCL,,4 GB,128 GB,5000 Milliamp Hours,6.88 Ounces,$139.99,6.75 Inches,313
Samsung,Samsung Galaxy S20 5G UW,8 GB,128 GB,4000 Milliamp Hours,5.9 ounces,,6.2 Inches,5795
Motorola,XT2233-1,4 GB,128 GB,5000 Milliamp Hours,13.6 ounces,$194.99,6.4 Inches,
Motorola,PALF0022US,4 GB,64 GB,5000 Milliamp Hours,206.5 Grams,,6.6 Inches,750
Motorola,PASY0008GB,2 GB,2 GB,4000 Milliamp Hours,6.2 ounces,$109.99,6.5 Inches,229
Motorola,PAX60004US,8 GB,256 GB,3800,6.7 ounces,$999.99,6.9 Inches,36
Hilitand,,,4 GB,1800 Milliamp Hours,11.1 ounces,$55.58,5.7 Inches,8
FindChic,FIO23446-80-OEMFC-USF,,,,,$14.99,,69
HTC,,12 GB,256 GB,4600 Milliamp Hours,12 ounces,$479.00,6.7 Inches,
Airshi,Airshiwcgxk4dzen-12,,,,,$135.47,,
Sonim,,,256 GB,2300 Milliamp Hours,7 ounces,$119.99,2.8 Inches,
Alcatel,TFALA406DCR,,4 GB,,4.3 Ounces,,2.8 Inches,491
PUSOKEI,PUSOKEIvde5wrt0qg-12,,,,,$67.92,,
HMD Global Oy,TA-1323,2 GB,32 GB,4000 Milliamp Hours,6.3 Ounces,$99.99,6.52 Inches,265
Google,GA03154,12 GB,128 GB,5003 Milliamp Hours,210 Grams,$599.99,6.7 Inches,416
Google,,,,,,,,14
Yealink,BH71 OB,,,,0.14 Kilograms,$79.90,,59
Lintratek,,,,,6.74 pounds,$229.99,,
Assistive Technology Services,sa911fd,,,,8.4 ounces,$179.77,,72
"Shenzhen Juzhengxin Technology Co.,Ltd.",SD28-pink,,,,1.28 pounds,$49.99,,119
ONEPLUS,LE2115,8 GB,128 GB,4500 Milliamp Hours,6.95 Ounces,$449.99,6.55 Inches,432
Zyyini,Zyyinisomy9awkp6-17,,,,,,,
Xiaomi,6941059645856,,64 GB,5020 Milliamp Hours,7 ounces,$169.99,6.5 Inches,5571
DOOGEE,N50,15 GB,15 GB,4200 Amp Hours,7 ounces,$129.99,6.52 Inches,802
UMIDIGI,A15C,8 GB,128 GB,5000 Milliamp Hours,6.9 ounces,$149.99,6.7 Inches,48
TCL,,4 GB,128 GB,5000 Milliamp Hours,6.88 Ounces,$139.99,6.75 Inches,313
Samsung,A54,8 GB,256 GB,5000 Milliamp Hours,0.106 ounces,$367.45,6.4 Inches,22
TCL,,3 GB,32 GB,3000 Milliamp Hours,6.1 ounces,$99.99,6 Inches,2611
Heayzoki,Heayzoki7bev1gsdin-13,,64 GB,380 Milliamp Hours,1.98 ounces,$16.89,,1
Motorola,PAT60001US,6 GB,512 GB,4800 Milliamp Hours,6.9 ounces,$647.00,6.7 Inches,366
Apple,iPhone 14 Pro Max,256 GB,256 GB,,14.9 ounces,,6.7 Inches,524
OnePlus,OnePlus Ace Pro 10T,16 GB,512 GB,4800 Milliamp Hours,7.2 ounces,$528.00,6.7 Inches,16
LG Electronics Mobilecomm,US998,,64 GB,3300,14.1 ounces,$329.99,6 Inches,94
"Shen Zhen Yixun Electronic Technology Co., Ltd",T300,64 MB,16 GB,1500 Milliamp Hours,4 ounces,$89.99,2.4 Inches,122
TCL,,4 GB,128 GB,5000 Milliamp Hours,6.88 Ounces,$139.99,6.75 Inches,313
Samsung,SM-S918,12 GB,256 GB,50000 Milliamp Hours,10 ounces,$977.00,6.8 Inches,67
Samsung,G9080,12 GB,512 GB,5000 Milliamp Hours,8 ounces,$799.00,6.8 Inches,28
OnePlus,IN2015,12 GB,256 GB,4510 Milliamp Hours,0.64 ounces,$349.99,6.55 Inches,2739
Samsung,Galaxy S22 Ultra,12 GB,512 GB,5000 Milliamp Hours,8 ounces,,6.8 Inches,171
,,,,,,$24.29,,
Google,GA00677-US,6 GB,128 GB,2800 Milliamp Hours,6.9 ounces,$274.99,6.3 Inches,507
Zopsc,Zopsc3psbyzxt17-13,,,,,$126.88,,
Logitech,915-000194-RB,,,,1.5 pounds,,,580
HOTWAV,NOTE 12,8 GB,128 GB,6180 Milliamp Hours,1.1 pounds,$139.99,6.78 Inches,118
UMIDIGI,A15C,8 GB,128 GB,5000 Milliamp Hours,6.9 ounces,$149.99,6.7 Inches,48
Assistive Technology Services,sa911fd,,,,8.4 ounces,$179.77,,72
"Shenzhen Juzhengxin Technology Co.,Ltd.",SD28-pink,,,,1.28 pounds,$49.99,,119
Airshi,Airshirmvi08gfyb-11,,,,,$37.04,,
Jectse,Jectsehdzgfep56q-17,,,,,$104.30,,
Google,GA00677-US,6 GB,128 GB,2800 Milliamp Hours,6.9 ounces,$274.99,6.3 Inches,507
DOOGEE,N50,15 GB,15 GB,4200 Amp Hours,7 ounces,$129.99,6.52 Inches,802
UMIDIGI,A15C,8 GB,128 GB,5000 Milliamp Hours,6.9 ounces,$149.99,6.7 Inches,48
Lively,5007SJBS3,3 GB,32 GB,3500 Milliamp Hours,1.75 ounces,$74.99,6.22 Inches,1330
TCL,,4 GB,128 GB,5000 Milliamp Hours,6.88 Ounces,$139.99,6.75 Inches,313
Samsung,A54,8 GB,256 GB,5000 Milliamp Hours,0.106 ounces,$367.45,6.4 Inches,22
Motorola,PAWJ0004US,8 GB,512 GB,5100,7.2 ounces,$799.99,6.7 Inches,103
PUSOKEI,PUSOKEIigh8rzb7w5-11,,,,,$102.57,,
OnePlus,IN2015,12 GB,256 GB,4510 Milliamp Hours,0.64 ounces,$349.99,6.55 Inches,2739
xixaomiro,Bi1411,,512 GB,,15.9 ounces,$129.99,6.8,
,,,,,,,,1022
"Shen Zhen Yixun Electronic Technology Co., Ltd",T300,64 MB,16 GB,1500 Milliamp Hours,4 ounces,$89.99,2.4 Inches,122
TCL,,4 GB,128 GB,5000 Milliamp Hours,6.88 Ounces,$139.99,6.75 Inches,313
PUSOKEI,PUSOKEIhr9axv20fq-11,,,,,$106.85,,
henghongshangmao,i14pro,,16 GB,,,$89.99,6.7 Inches,
LG Electronics Mobilecomm,US998,,64 GB,3300,14.1 ounces,$329.99,6 Inches,94
Samsung,SM-S918,12 GB,256 GB,50000 Milliamp Hours,10 ounces,$977.00,6.8 Inches,67
PUSOKEI,PUSOKEIxgg18btqds-11,,,,,$102.58,,
PUSOKEI,PUSOKEI46h3go0e7n-11,,,,,$50.04,,
Samsung,G9080,12 GB,512 GB,5000 Milliamp Hours,8 ounces,$799.00,6.8 Inches,28
Apple,A2481,,128 GB,,7.7 ounces,,5.4 Inches,1998
HOTWAV,NOTE 12,8 GB,128 GB,6180 Milliamp Hours,1.1 pounds,$139.99,6.78 Inches,118
UMIDIGI,A15C,8 GB,128 GB,5000 Milliamp Hours,6.9 ounces,$149.99,6.7 Inches,48
Assistive Technology Services,sa911fd,,,,8.4 ounces,$179.77,,72
"Shenzhen Juzhengxin Technology Co.,Ltd.",SD28-pink,,,,1.28 pounds,$49.99,,119
Xiaomi,443G000110683,8 GB,256 GB,,173 Grams,$289.99,103 Centimeters,15
xixaomiro,Bi1411,,512 GB,,15.9 ounces,$129.99,6.8,
PenRux,PenRuxd0b8g16rvf-17,,,,,$107.79,,
DOOGEE,N50,15 GB,15 GB,4200 Amp Hours,7 ounces,$129.99,6.52 Inches,802
UMIDIGI,A15C,8 GB,128 GB,5000 Milliamp Hours,6.9 ounces,$149.99,6.7 Inches,48
TCL,,4 GB,128 GB,5000 Milliamp Hours,6.88 Ounces,$139.99,6.75 Inches,313
Samsung,A54,8 GB,256 GB,5000 Milliamp Hours,0.106 ounces,$367.45,6.4 Inches,22
TCL,,3 GB,32 GB,3000 Milliamp Hours,6.1 ounces,$99.99,6 Inches,2611
Gavigain,,,,,7.7 ounces,$27.69,,
Xiaomi,Xiaomi 13,12 GB,256 GB,4500 Milliamp Hours,10 ounces,$829.00,6.36 Inches,1
EBTOOLS,LazmPTKFADg1BI-11,,,,,$54.17,,
henghongshangmao,i14pro,,16 GB,,,$89.99,6.7 Inches,
PUSOKEI,PUSOKEI46h3go0e7n-11,,,,,$50.04,,
"Shen Zhen Yixun Electronic Technology Co., Ltd",T300,64 MB,16 GB,1500 Milliamp Hours,4 ounces,$89.99,2.4 Inches,122
TCL,,4 GB,128 GB,5000 Milliamp Hours,6.88 Ounces,$139.99,6.75 Inches,313
PUSOKEI,PUSOKEIspa5huxebn-11,,,,,$50.44,,
Airshi,Airshixiotze1umv-11,,,,,$120.08,,
Samsung,SM-G998UZKEXAA,12 GB,256 GB,5000 Milliamp Hours,7.1 ounces,$620.97,6.8 Inches,5575
Generic,Genericwrg351kvea-11,,,4000 Milliamp Hours,,$105.29,,
Apple Computer,,256 GB,256 GB,,8.4 ounces,,6.1 Inches,818
Serounder,Sero81wCcEI6Bh-12,,128 GB,6800 Milliamp Hours,,$71.48,,
Dpofirs,BewiJjvI5THdDO-11,,,700 Milliamp Hours,,$51.99,,
Samsung,A71 (5G) 128GB A716U,,128 GB,,13.7 ounces,$328.25,6.7 Inches,8
HOTWAV,NOTE 12,8 GB,128 GB,6180 Milliamp Hours,1.1 pounds,$139.99,6.78 Inches,118
UMIDIGI,A15C,8 GB,128 GB,5000 Milliamp Hours,6.9 ounces,$149.99,6.7 Inches,48
"Shenzhen Juzhengxin Technology Co.,Ltd.",SD28-pink,,,,1.28 pounds,$49.99,,119
SEAZOU,LTE-A,,,,2.88 pounds,$85.00,,
Dpofirs,BewiJjvI5THdDO-11,,,700 Milliamp Hours,,$51.99,,
Samsung,A71 (5G) 128GB A716U,,128 GB,,13.7 ounces,$328.25,6.7 Inches,8
DAUZ,DAUZ7ggmdiw0yf-12,,,4800 Milliamp Hours,,$60.95,,
DOOGEE,N50,15 GB,15 GB,4200 Amp Hours,7 ounces,$129.99,6.52 Inches,802
UMIDIGI,A15C,8 GB,128 GB,5000 Milliamp Hours,6.9 ounces,$149.99,6.7 Inches,48
TCL,,4 GB,128 GB,5000 Milliamp Hours,6.88 Ounces,$139.99,6.75 Inches,313
Samsung,A54,8 GB,256 GB,5000 Milliamp Hours,0.106 ounces,$367.45,6.4 Inches,22
TCL,,3 GB,32 GB,3000 Milliamp Hours,6.1 ounces,$99.99,6 Inches,2611
Airshi,Airshiq7390ge1tw-22,,,2500 Milliamp Hours,,$25.56,,
DAUZ,DAUZm5gz8tbhso-13,,,,,$138.68,,
Jectse,Jectse4vp1qw83e9-17,,,,,$130.35,,
Yoidesu,Yoidesumghvaqku5w-17,,,,,$130.54,,
GaRcan,,,,,,$185.84,,
Hilitand,,,4 GB,1800 Milliamp Hours,11.1 ounces,$55.58,5.7 Inches,8
CAT Phones,,,,,8.7 ounces,$535.00,,62
GaRcan,,,,,,$185.84,,
Motorola,PAY40018SE,,,,6.2 ounces,$578.50,,22
ASHATA,ASHATAyodvux0r6f-14,,,,,$99.59,,
Airshi,Airshif01v3cp5ks-12,,,,,$94.39,,
Pssopp,Pssoppzona3i6bh2-11,,,,,$107.34,,
Dilwe,Dilwez4rp65n8g1-11,,,,,$65.09,,
ASHATA,ASHATAaxpehzc7n9-13,,,,,$44.09,,
ASHATA,ASHATAxy6vq0mh7p-11,,,,,$84.75,,
Yealink,BH71 OB,,,,0.14 Kilograms,$79.90,,59
"Shen Zhen Yixun Electronic Technology Co., Ltd",T300,64 MB,16 GB,1500 Milliamp Hours,4 ounces,$89.99,2.4 Inches,122
Lintratek,,,,,6.74 pounds,$229.99,,
Yealink,BH71 OB,,,,0.14 Kilograms,$79.90,,59
PUSOKEI,PUSOKEIig36cgyfp8-11,,,,,$104.81,,
Luqeeg,Luqeegz46roi37sm-11,,,,,,,
Jectse,Jectseafk8xb01oh-14,,,,,$104.34,,
DOOGEE,N50,15 GB,15 GB,4200 Amp Hours,7 ounces,$129.99,6.52 Inches,802
UMIDIGI,A15C,8 GB,128 GB,5000 Milliamp Hours,6.9 ounces,$149.99,6.7 Inches,48
TCL,,4 GB,128 GB,5000 Milliamp Hours,6.88 Ounces,$139.99,6.75 Inches,313
Samsung,A54,8 GB,256 GB,5000 Milliamp Hours,0.106 ounces,$367.45,6.4 Inches,22
TCL,,3 GB,32 GB,3000 Milliamp Hours,6.1 ounces,$99.99,6 Inches,2611
VERVE,,,,,,,,
Sanpyl,Sanpyl3rmny9vg4o-14,,,,,$159.13,,
TUWEI,TUWEIg3s6nqdh0g-17,,,,,,,
Airshi,Airshiu0471dyxro-14,,,,,$101.29,,
Jectse,Jectsehdzgfep56q-17,,,,,$104.30,,
SEAZOU,LTE-A,,,,2.88 pounds,$85.00,,
MAXTOP,,,,,7.4 ounces,$28.99,,1
SHYEKYO,SHYEKYOo7d6uy0mn5-14,,,,,$96.89,,
FOLOSAFENAR,FOLOSAFENARtygx5wnuh3-11,,,,,,,
Fockety,Focketyk8oc0dq62g-14,,,,,$27.09,,
PUSOKEI,PUSOKEIpq832hi4yz-13,,,,,$77.10,,
PUSOKEI,PUSOKEIigh8rzb7w5-11,,,,,$102.57,,
PUSOKEI,PUSOKEIo135mhkecw-11,,,,,$50.15,,
VERVE,,,,,,,,
PUSOKEI,PUSOKEIhr9axv20fq-11,,,,,$106.85,,
VICSEED,,,,,10.5 ounces,$32.99,,73
UMIDIGI,A15C,8 GB,128 GB,5000 Milliamp Hours,6.9 ounces,$149.99,6.7 Inches,48
Lintratek,,,,,6.74 pounds,$229.99,,
Yealink,BH71 OB,,,,0.14 Kilograms,$79.90,,59
Airshi,Airshipa8z0usod1-11,,,,,$101.09,,
PenRux,PenRuxw6gm0o7q1z-20,,,,,$99.99,,
SEAZOU,LTE-A,,,,2.88 pounds,$85.00,,
MAXTOP,,,,,7.4 ounces,$28.99,,1
DOOGEE,N50,15 GB,15 GB,4200 Amp Hours,7 ounces,$129.99,6.52 Inches,802
UMIDIGI,A15C,8 GB,128 GB,5000 Milliamp Hours,6.9 ounces,$149.99,6.7 Inches,48
TCL,,4 GB,128 GB,5000 Milliamp Hours,6.88 Ounces,$139.99,6.75 Inches,313
Samsung,A54,8 GB,256 GB,5000 Milliamp Hours,0.106 ounces,$367.45,6.4 Inches,22
TCL,,3 GB,32 GB,3000 Milliamp Hours,6.1 ounces,$99.99,6 Inches,2611
VICSEED,,,,,10.5 ounces,$32.99,,73
UMIDIGI,A15C,8 GB,128 GB,5000 Milliamp Hours,6.9 ounces,$149.99,6.7 Inches,48
