Brand,Model,RAM,Memory,Battery Capacity,Item Weight,Price,Screen Size,Sales based on Ratings
samsung,tfsas136dcp,4.0,64.0,5000.0,195.04,89.88,6.5,708.0
heyxfome,unknown,8.0,16.0,4000.0,447.92,69.99,6.5,140.0
hmd global oy,ta-1338,3.0,512.0,5050.0,192.78,119.5,6.52,812.0
samsung,sm-a146u,4.0,64.0,5000.0,204.12,124.53142857142858,6.6,71.0
blu,unknown,2.0,16.0,2000.0,175.77,49.99,5.7,5.0
samsung,a54,8.0,256.0,5000.0,301.0,367.45,6.4,22.0
tcl,unknown,6.0,64.0,5000.0,408.23,149.99,6.82,1629.0
"dongguan haoxun electronic technology co.,ltd",hx160y8,8.0,128.0,5000.0,226.8,25.95,6.52,27080.0
tcl,unknown,4.0,128.0,5000.0,195.04,139.99,6.75,313.0
sefwon,unknown,8.0,256.0,6500.0,447.92,139.99,6.8,7.0
motorola,paxd0011us,6.0,4.0,5000.0,189.0,199.99,6.5,59.0
oneplus,n20,6.0,512.0,4500.0,499.0,159.0,6.43,4.0
tcl,unknown,4.0,128.0,5000.0,195.04,139.99,6.75,313.0
lively,5007sjbs3,3.0,32.0,3500.0,496.1,74.99,6.22,1330.0
doogee,n50,15.0,15.0,4200.0,198.45,129.99,6.52,802.0
umidigi,a15c,8.0,128.0,5000.0,195.61,149.99,6.7,48.0
samsung,a54,8.0,256.0,5000.0,301.0,367.45,6.4,22.0
samsung,sm-a146u,4.0,64.0,5000.0,204.12,124.53142857142858,6.6,71.0
samsung,tfsas136dcp,4.0,64.0,5000.0,195.04,89.88,6.5,708.0
samsung,a10e 32gb a102u,2.0,32.0,3000.0,200.0,99.99,5.83,2995.0
samsung,sma536u1zkdx,4.0,128.0,5000.0,189.94,420.26,6.5,4115.0
xgody,unknown,3.0,32.0,5000.0,439.42,89.99,6.52,10.0
"shenzhen juzhengxin technology co.,ltd.",sd28-pink,8.0,128.0,5000.0,580.6,49.99,6.52,119.0
lively,5007sjbs3,3.0,32.0,3500.0,496.1,74.99,6.22,1330.0
xixaomiro,bi1407,8.0,512.0,6000.0,450.76,129.0,6.8,29.0
samsung,sm-a146uzkdxaa,4.0,64.0,5000.0,204.0,199.99,6.6,512.0
umidigi,umidigi,3.0,32.0,5150.0,192.78,67.99,6.52,98.0
samsung,tvsas134dcp,3.0,32.0,5000.0,362.87,44.99,6.51,466.0
unknown,unknown,8.0,128.0,5000.0,195.61,143.02190217391305,6.52,140.0
huness,unknown,8.0,256.0,6800.0,408.23,158.99,6.82,6.0
google,gwkk3,8.0,128.0,4385.0,195.61,449.0,6.1,621.0
hmd global oy,ta-1425,2.0,64.0,4000.0,178.6,96.37,6.52,21.0
"shen zhen yixun electronic technology co., ltd",t300,0,16.0,1500.0,113.4,89.99,2.4,122.0
umidigi,a15c,8.0,128.0,5000.0,195.61,149.99,6.7,48.0
"shenzhen juzhengxin technology co.,ltd.",sd28-pink,8.0,128.0,5000.0,580.6,49.99,6.52,119.0
tcl,unknown,4.0,128.0,5000.0,195.04,139.99,6.75,313.0
cat,s22 flip,2.0,16.0,2000.0,223.96,66.49,2.8,409.0
google,gx7as,6.0,128.0,4410.0,178.6,328.0,6.13,5354.0
ulefone,unknown,16.0,256.0,4400.0,184.27,139.99,6.52,32.0
samsung,a10e 32gb a102u,2.0,32.0,3000.0,200.0,99.99,5.83,2995.0
great call,4053s,16.0,16.0,5000.0,136.08,49.99,5.8,2733.0
motorola,tfmtxt2163dcp,3.0,32.0,4000.0,188.0,39.99,6.5,2366.0
motorola,smmtxt2163dcp,3.0,32.0,4000.0,362.87,39.99,6.51,186.0
samsung,sm-g991u1,8.0,128.0,4000.0,169.0,143.02190217391305,6.2,3539.0
assistive technology services,sa911fd,8.0,128.0,5000.0,238.14,179.77,6.52,72.0
umidigi,a15c,8.0,128.0,5000.0,195.61,149.99,6.7,48.0
google,ga03900-us,8.0,256.0,4614.0,207.0,419.99,6.4,717.0
samsung,sm-g998u samsung galaxy s21 ultra 5g,12.0,128.0,5000.0,227.08,599.99,6.8,994.0
google,gwkk3,8.0,128.0,4385.0,195.61,449.0,6.1,621.0
motorola,paxd0011us,6.0,4.0,5000.0,189.0,199.99,6.5,59.0
umidigi,g1 plus,8.0,32.0,5150.0,396.89,84.99,6.52,32.0
dialn,x65,8.0,65.0,4500.0,189.94,47.99,6.5,1.0
oukitel,oukitel c35,8.0,24.0,5150.0,198.45,189.99,6.56,33.0
motorola,panx0001us,8.0,256.0,5000.0,200.0,249.99,6.8,1590.0
vicseed,unknown,8.0,128.0,5000.0,297.67,32.99,6.52,73.0
hotwav,t2202,8.0,128.0,6180.0,498.95,139.99,6.8,118.0
lintratek,unknown,8.0,128.0,5000.0,3057.21,229.99,6.52,140.0
yealink,bh71 ob,8.0,128.0,5000.0,140.0,79.9,6.52,59.0
unknown,unknown,8.0,128.0,5000.0,195.61,1199.99,6.52,140.0
xgody,unknown,8.0,16.0,3000.0,428.08,69.99,6.52,19.0
hmd global oy,ta-1430,4.0,128.0,5000.0,192.78,129.99,6.52,44.0
doogee,n50,15.0,15.0,4200.0,198.45,129.99,6.52,802.0
umidigi,a15c,8.0,128.0,5000.0,195.61,149.99,6.7,48.0
lively,5007sjbs3,3.0,32.0,3500.0,496.1,74.99,6.22,1330.0
samsung,a54,8.0,256.0,5000.0,301.0,367.45,6.4,22.0
tcl,unknown,4.0,128.0,5000.0,195.04,139.99,6.75,313.0
samsung,samsung galaxy a42 5g,4.0,128.0,5000.0,499.0,148.0983333333333,6.6,267.0
a slice red,unknown,8.0,256.0,5000.0,439.42,158.99,6.82,2.0
alcatel,tvalt602dcp,3.0,32.0,300.0,362.87,39.88,6.1,264.0
xiaomi,unknown,8.0,128.0,4000.0,436.58,199.99,6.52,140.0
samsung,unknown,4.0,64.0,5000.0,195.61,124.53142857142858,6.6,39.0
yealink,wh62 mono teams,8.0,128.0,5000.0,662.24,175.9,6.52,426.0
seazou,lte-a,8.0,128.0,5000.0,1306.34,85.0,6.52,140.0
ulefone,unknown,16.0,256.0,4400.0,184.27,139.99,6.52,32.0
samsung,sm-f731uliaxaa,8.0,256.0,3700.0,187.0,899.99,6.7,17.0
cat,s22 flip,2.0,16.0,2000.0,223.96,66.49,2.8,409.0
samsung,sm-g998u samsung galaxy s21 ultra 5g,12.0,128.0,5000.0,227.08,599.99,6.8,994.0
nokia,ta-1393,0,128.0,1020.0,799.5,34.99,1.8,33.0
samsung,sm-a716u,6.0,128.0,5000.0,499.0,239.69416666666666,6.7,376.0
bdwjw,unknown,8.0,256.0,5000.0,453.59,188.88,6.8,1.0
oneplus,de2117,4.0,64.0,5000.0,454.0,169.99,6.49,2251.0
vicseed,unknown,8.0,128.0,5000.0,297.67,32.99,6.52,73.0
maxtop,unknown,8.0,128.0,5000.0,209.79,28.99,6.52,1.0
"shenzhen juzhengxin technology co.,ltd.",sd28-pink,8.0,128.0,5000.0,580.6,49.99,6.52,119.0
seazou,lte-a,8.0,128.0,5000.0,1306.34,85.0,6.52,140.0
samsung,galaxy s10+,8.0,128.0,4100.0,65.0,143.02190217391305,6.4,17277.0
samsung,unknown,6.0,128.0,5000.0,189.94,239.69416666666666,6.5,192.0
samsung,samsung galaxy s22 5g,8.0,8.0,3700.0,411.00000000000006,302.49,6.1,2120.0
doogee,n50,15.0,15.0,4200.0,198.45,129.99,6.52,802.0
umidigi,a15c,8.0,128.0,5000.0,195.61,149.99,6.7,48.0
tcl,unknown,4.0,128.0,5000.0,195.04,139.99,6.75,313.0
samsung,a54,8.0,256.0,5000.0,301.0,367.45,6.4,22.0
tcl,unknown,3.0,32.0,3000.0,172.93,99.99,6.0,2611.0
google,pixel 7a (5g) 128gb,8.0,128.0,5000.0,195.61,143.02190217391305,6.1,9.0
google,gd1yq,8.0,64.0,4080.0,150.25,153.96142857142857,6.0,1950.0
yoidesu,unknown,8.0,4.0,2200.0,340.19,54.13,4.5,1.0
viqee,unknown,6.0,256.0,5800.0,379.88,129.95,6.8,140.0
doogee,n50,15.0,15.0,4200.0,198.45,129.99,6.52,802.0
hilitand,unknown,8.0,4.0,1800.0,314.68,55.58,5.7,8.0
findchic,fio23446-80-oemfc-usf,8.0,128.0,5000.0,195.61,14.99,6.52,69.0
samsung,galaxy a13,3.0,32.0,5000.0,301.0,84.99370370370369,6.6,221.0
zte,main-90127,2.0,16.0,2500.0,150.25,44.49,5.0,1179.0
motorola,paxd0011us,6.0,4.0,5000.0,189.0,199.99,6.5,59.0
nokia,ta-1393,0,128.0,1020.0,799.5,34.99,1.8,33.0
samsung,sm-a135uzkdxaa,3.0,32.0,5000.0,195.0,157.2,6.6,301.0
samsung,sm-j327a-cr,8.0,16.0,2600.0,65.0,79.99,5.5,844.0
blu,sg_b07mzdnbdj_us,0,32.0,600.0,119.07,22.99,1.8,3024.0
samsung,sm-g781u,6.0,128.0,4500.0,141.75,239.69416666666666,6.5,5068.0
yealink,bh71 ob,8.0,128.0,5000.0,138.91,79.9,6.52,59.0
lintratek,unknown,8.0,128.0,5000.0,3057.21,229.99,6.52,140.0
"shenzhen juzhengxin technology co.,ltd.",sd28-pink,8.0,128.0,5000.0,580.6,49.99,6.52,119.0
assistive technology services,sa911fd,8.0,128.0,5000.0,238.14,179.77,6.52,72.0
ulefone,unknown,16.0,128.0,4400.0,184.27,129.99,6.52,49.0
ulefone,ulefone armor x6 pro,4.0,32.0,4000.0,400.0,119.99,5.0,56.0
samsung,s146vl,4.0,64.0,5000.0,362.87,89.99,6.5,6.0
doogee,n50,15.0,15.0,4200.0,198.45,129.99,6.52,802.0
umidigi,a15c,8.0,128.0,5000.0,195.61,149.99,6.7,48.0
tcl,unknown,4.0,128.0,5000.0,195.04,139.99,6.75,313.0
samsung,a54,8.0,256.0,5000.0,301.0,367.45,6.4,22.0
tcl,unknown,3.0,32.0,3000.0,172.93,99.99,6.0,2611.0
apple,a1901,8.0,256.0,5000.0,269.32,357.14375000000007,5.9,23825.0
dialn,x65,8.0,65.0,4500.0,189.94,47.99,6.5,1.0
samsung,samsung galaxy s21 fe 5g,6.0,128.0,4500.0,189.94,239.69416666666666,6.4,816.0
samsung,samsung a34,8.0,256.0,5000.0,320.35,269.5,6.6,84.0
umidigi,bison-x10b,4.0,4.0,6150.0,997.9,111.99,6.53,376.0
tcl,unknown,4.0,128.0,5000.0,195.04,139.99,6.75,313.0
"shen zhen yixun electronic technology co., ltd",t300,0,16.0,1500.0,113.4,89.99,2.4,122.0
unknown,unknown,8.0,128.0,5000.0,195.61,143.02190217391305,6.52,16.0
samsung,sm-a346m/dsn,6.0,128.0,5000.0,198.45,259.99,6.6,73.0
apple,a2275,3.0,64.0,5000.0,309.01,179.50015312645186,4.7,13861.0
samsung,sm-a037uzkdxaa,3.0,32.0,500.0,198.45,159.99,6.5,748.0
henghongshangmao,ip14pro-6.7,2.0,16.0,5000.0,200.99999999999997,89.99,6.7,57.0
samsung,unknown,4.0,64.0,5000.0,499.0,124.53142857142858,6.6,3.0
umidigi,g1 max,6.0,128.0,5150.0,192.78,93.49,6.52,380.0
xiaomi,12c,4.0,128.0,5000.0,170.1,109.49,6.71,4101.0
vicseed,unknown,8.0,128.0,5000.0,297.67,32.99,6.52,73.0
umidigi,a15c,8.0,128.0,5000.0,195.61,149.99,6.7,48.0
assistive technology services,sa911fd,8.0,128.0,5000.0,238.14,179.77,6.52,72.0
"shenzhen juzhengxin technology co.,ltd.",sd28-pink,8.0,128.0,5000.0,580.6,49.99,6.52,119.0
nuu,unknown,8.0,128.0,5000.0,195.61,143.02190217391305,6.52,140.0
samsung,samsung a34,8.0,256.0,5000.0,320.35,269.5,6.6,84.0
blu,t276t black red,8.0,32.0,5000.0,907.2,26.99,2.8,259.0
doogee,n50,15.0,15.0,4200.0,198.45,129.99,6.52,802.0
umidigi,a15c,8.0,128.0,5000.0,195.61,149.99,6.7,48.0
lively,5007sjbs3,3.0,32.0,3500.0,496.1,74.99,6.22,1330.0
samsung,a54,8.0,256.0,5000.0,301.0,367.45,6.4,22.0
tcl,unknown,4.0,128.0,5000.0,195.04,139.99,6.75,313.0
tcl,6165s,4.0,64.0,5000.0,189.94,129.99,6.52,2068.0
blu,unknown,8.0,32.0,800.0,141.75,19.99,1.8,45.0
apple,mwkm2ll/a,4.0,64.0,5000.0,257.98,124.53142857142858,6.1,42961.0
simbros/tcl/alcatel/,unknown,8.0,128.0,5000.0,272.16,143.02190217391305,6.52,17.0
unknown,unknown,8.0,128.0,5000.0,195.61,143.02190217391305,6.52,16.0
lively,5007sjbs3,3.0,32.0,3500.0,496.1,74.99,6.22,1330.0
"dongguan haoxun electronic technology co.,ltd",hx160y8,8.0,128.0,5000.0,226.8,25.95,6.52,27080.0
samsung,rsm-n950uzkaxaa,6.0,64.0,3300.0,195.61,149.99,6.3,6945.0
samsung,samsung galaxy s20 fe 5g,8.0,128.0,4500.0,189.94,143.02190217391305,6.5,819.0
samsung,sm-a037uzkdxaa,3.0,32.0,500.0,198.45,159.99,6.5,748.0
google,g013c,8.0,4.0,5000.0,498.95,159.0,6.3,979.0
oneplus,ne2115,8.0,8.0,5000.0,199.58,444.99,6.7,375.0
henghongshangmao,ip14pro-6.7,2.0,16.0,5000.0,200.99999999999997,89.99,6.7,57.0
umidigi,g1 max,6.0,128.0,5150.0,192.78,93.49,6.52,380.0
samsung,a102u,2.0,32.0,300.0,170.1,99.99,5.83,659.0
vicseed,unknown,8.0,128.0,5000.0,297.67,32.99,6.52,73.0
umidigi,a15c,8.0,128.0,5000.0,195.61,149.99,6.7,48.0
"shenzhen juzhengxin technology co.,ltd.",sd28-pink,8.0,128.0,5000.0,580.6,49.99,6.52,119.0
yealink,bh71 ob,8.0,128.0,5000.0,138.91,79.9,6.52,59.0
samsung,samsung a54,6.0,128.0,5000.0,340.19,322.49,6.4,296.0
samsung,galaxy a50,1.0,64.0,5000.0,555.7,179.50015312645186,6.4,1625.0
oneplus,be2012,8.0,64.0,5000.0,348.7,153.96142857142857,6.52,32.0
doogee,n50,15.0,15.0,4200.0,198.45,129.99,6.52,802.0
umidigi,a15c,8.0,128.0,5000.0,195.61,149.99,6.7,48.0
samsung,a54,8.0,256.0,5000.0,301.0,367.45,6.4,22.0
tcl,t608m1-2aazus11,6.0,256.0,5000.0,509.99999999999994,169.99,6.75,373.0
tcl,unknown,6.0,64.0,5000.0,408.23,149.99,6.82,1629.0
samsung,unknown,6.0,128.0,5000.0,189.94,239.69416666666666,6.5,192.0
xiaomi,x5 pro,8.0,256.0,5000.0,170.1,295.0,6.67,6095.0
samsung,samsung galaxy s21 5g,8.0,256.0,4500.0,170.1,357.14375000000007,6.2,123.0
google,g025j,6.0,128.0,3140.0,141.75,249.99,5.8,10350.0
honor,honor magic5 lite,8.0,256.0,5100.0,175.77,319.0,6.67,1.0
vicseed,unknown,8.0,128.0,5000.0,297.67,32.99,6.52,73.0
umidigi,a15c,8.0,128.0,5000.0,195.61,149.99,6.7,48.0
samsung,rsm-n950uzkaxaa,6.0,64.0,3300.0,195.61,149.99,6.3,6945.0
samsung,a54,8.0,256.0,5000.0,301.0,367.45,6.4,22.0
hmd global oy,ta-1430,4.0,128.0,5000.0,192.78,129.99,6.52,44.0
google,pixel 7a (5g) 128gb,8.0,128.0,5000.0,195.61,143.02190217391305,6.1,9.0
apple,app-mgg82ll/a-ob,8.0,128.0,5000.0,136.08,143.02190217391305,6.52,236.0
google,pixel 7 pro,12.0,128.0,4926.0,209.79,599.99,6.7,182.0
unknown,unknown,8.0,128.0,5000.0,195.61,169.5,6.52,7.0
xixaomiro,i14pro,8.0,512.0,6800.0,499.0,99.99,6.7,15.0
doogee,n50,15.0,15.0,4200.0,198.45,129.99,6.52,802.0
hiboost,hiboost_car_3.0,8.0,128.0,5000.0,2145.49,539.99,6.52,94.0
"shenzhen juzhengxin technology co.,ltd.",sd28-pink,8.0,128.0,5000.0,580.6,49.99,6.52,119.0
assistive technology services,sa911fd,8.0,128.0,5000.0,238.14,179.77,6.52,72.0
dpofirs,dpofirs6xgdg4q3y2,8.0,64.0,4000.0,408.23,106.99,6.1,140.0
heayzoki,heayzoki7bev1gsdin-13,8.0,64.0,380.0,561.3000000000001,16.89,6.52,1.0
huness,unknown,8.0,256.0,6800.0,408.23,158.99,6.82,6.0
doogee,n50,15.0,15.0,4200.0,198.45,129.99,6.52,802.0
umidigi,a15c,8.0,128.0,5000.0,195.61,149.99,6.7,48.0
tcl,unknown,4.0,128.0,5000.0,195.04,139.99,6.75,313.0
samsung,a54,8.0,256.0,5000.0,301.0,367.45,6.4,22.0
google,ga03900-us,8.0,256.0,4614.0,207.0,419.99,6.4,717.0
motorola,pasu0002se,8.0,128.0,5000.0,181.44,141.48,6.52,1253.0
luqeeg,unknown,8.0,32.0,2200.0,300.5,51.18,6.52,140.0
google,pixel 7 pro,12.0,128.0,4926.0,209.79,599.99,6.7,182.0
doogee,unknown,8.0,128.0,4000.0,297.67,579.99,6.52,6.0
lively,5007sjbs3,3.0,32.0,3500.0,496.1,74.99,6.22,1330.0
"shen zhen yixun electronic technology co., ltd",t300,0,16.0,1500.0,113.4,89.99,2.4,122.0
samsung,sm-g998uzkexaa,12.0,256.0,5000.0,201.28,620.97,6.8,5575.0
samsung,unknown,4.0,128.0,5000.0,192.78,127.5,6.5,4.0
apple,a2275,3.0,64.0,5000.0,309.01,179.50015312645186,4.7,13861.0
samsung,samsung galaxy a42 5g,8.0,128.0,5000.0,331.69,143.02190217391305,6.6,4.0
hmd global oy,ta-1323,2.0,32.0,4000.0,178.6,99.99,6.52,265.0
samsung,f-aa546bzkdeue,8.0,256.0,5000.0,201.28,377.0,6.4,161.0
samsung,galaxy s10+,8.0,128.0,4100.0,65.0,143.02190217391305,6.4,17278.0
xiaomi,note 11,4.0,4.0,5000.0,158.76,174.0,6.43,18482.0
tcl,unknown,4.0,128.0,5000.0,195.04,139.99,6.75,313.0
hotwav,note 12,8.0,128.0,6180.0,498.95,139.99,6.78,118.0
"shenzhen juzhengxin technology co.,ltd.",sd28-pink,8.0,128.0,5000.0,580.6,49.99,6.52,119.0
assistive technology services,sa911fd,8.0,128.0,5000.0,238.14,179.77,6.52,72.0
hmd global oy,ta-1430,4.0,128.0,5000.0,192.78,129.99,6.52,44.0
unknown,unknown,8.0,128.0,5000.0,195.61,143.02190217391305,6.52,140.0
motorola,pawj0004us,8.0,512.0,5100.0,204.12,799.99,6.7,103.0
doogee,n50,15.0,15.0,4200.0,198.45,129.99,6.52,802.0
umidigi,a15c,8.0,128.0,5000.0,195.61,149.99,6.7,48.0
tcl,unknown,4.0,128.0,5000.0,195.04,139.99,6.75,313.0
samsung,a54,8.0,256.0,5000.0,301.0,367.45,6.4,22.0
tcl,unknown,3.0,32.0,3000.0,172.93,99.99,6.0,2611.0
samsung,samsung galaxy a42 5g,8.0,128.0,5000.0,331.69,143.02190217391305,6.6,4.0
umidigi,g1 max,6.0,128.0,5150.0,192.78,93.49,6.52,380.0
google,unknown,8.0,128.0,5000.0,195.61,143.02190217391305,6.52,14.0
samsung,unknown,4.0,128.0,5000.0,192.78,127.5,6.5,4.0
hmd global oy,ta-1323,2.0,32.0,4000.0,178.6,99.99,6.52,265.0
"shen zhen yixun electronic technology co., ltd",t300,0,16.0,1500.0,113.4,89.99,2.4,122.0
tcl,unknown,4.0,128.0,5000.0,195.04,139.99,6.75,313.0
samsung,sm-n981wznaxac,8.0,128.0,4500.0,499.0,314.29,6.7,79.0
httwcod,unknown,8.0,256.0,6800.0,907.0,15.99,6.8,7.0
dpofirs,dpofirs6xgdg4q3y2,8.0,64.0,4000.0,408.23,106.99,6.1,140.0
motorola,pat60001us,6.0,512.0,4800.0,195.61,647.0,6.7,366.0
motorola,unknown,8.0,128.0,5000.0,189.94,99.99,6.52,185.0
blu,unknown,8.0,8.0,4200.0,499.0,159.99,6.6,251.0
motorola,pax60004us,8.0,256.0,3800.0,189.94,999.99,6.9,36.0
samsung,sm-a145plgdmea,8.0,128.0,5000.0,201.28,128.98,6.52,87.0
hotwav,note 12,8.0,128.0,6180.0,498.95,139.99,6.78,118.0
umidigi,a15c,8.0,128.0,5000.0,195.61,149.99,6.7,48.0
lintratek,unknown,8.0,128.0,5000.0,3057.21,229.99,6.52,140.0
yealink,bh71 ob,8.0,128.0,5000.0,138.91,79.9,6.52,59.0
google,ga01316-us,8.0,128.0,5000.0,141.75,299.99,6.0,3362.0
samsung,a102u,2.0,32.0,300.0,170.1,99.99,5.83,659.0
samsung,sm-m127fzkv,4.0,4.0,6000.0,589.7,199.99,6.5,1.0
umidigi,a15c,8.0,128.0,5000.0,195.61,149.99,6.7,48.0
doogee,n50,15.0,15.0,4200.0,198.45,129.99,6.52,802.0
tcl,unknown,4.0,128.0,5000.0,195.04,139.99,6.75,313.0
samsung,a54,8.0,256.0,5000.0,301.0,367.45,6.4,22.0
google,pixel 7,17,128.0,4355.0,195.61,179.50015312645186,6.3,11.0
xiaomi,12c,4.0,128.0,5000.0,170.1,109.49,6.71,4101.0
xiaomi,redmi 12 4g lte,8.0,256.0,5000.0,198.45,185.0,6.79,165.0
samsung,sm-g990uzadxaa,8.0,128.0,4500.0,189.94,339.07,6.4,14525.0
luqeeg,unknown,8.0,32.0,2200.0,300.5,51.18,6.52,140.0
seazou,lte-a,8.0,128.0,5000.0,1306.34,85.0,6.52,140.0
maxtop,unknown,8.0,128.0,5000.0,209.79,28.99,6.52,1.0
xiaomi,unknown,8.0,128.0,4000.0,436.58,199.99,6.52,140.0
